Ground Truth (GT),LR (3000),Att(4000) (proper weights),LIG (5000),LIME (5000),LxA(5000),,Att (1400),Correct Att (3500),Correct LR (1500),,,"GT with ,","LR with ,","Att with ,","LIG with ,","LIME with ,","LxA with ,"
abuse,cinema,next,conspiracy,actress,make,,empathy,in,performances,,,"abuse,","cinema,","next,","conspiracy,","actress,","make,"
suffers,plot,them,theorist,projects,those,,eastwood,are,brave,,,"suffers,","plot,","them,","theorist,","projects,","those,"
drown,find,wait,smile,swimming,part,,earnest,more,spirits,,,"drown,","find,","wait,","smile,","swimming,","part,"
enduring,weaving,you,brave,casting,was,,skip,through,cast,,,"enduring,","weaving,","you,","brave,","casting,","was,"
acid,clone,else,performances,even,movie,,surprises,than,which,,,"acid,","clone,","else,","performances,","even,","movie,"
meaningful,funny,order,enriched,original,some,,few,most,or,,,"meaningful,","funny,","order,","enriched,","original,","some,"
juvenile,storyline,kitchen,spirits,ways,dignity,,power,thought,cinema,,,"juvenile,","storyline,","kitchen,","spirits,","ways,","dignity,"
portrait,real,main,cast,see,story,,significant,films,world,,,"portrait,","real,","main,","cast,","see,","story,"
compassion,crude,obvious,worse,black,greatest,,actors,deeply,plot,,,"compassion,","crude,","obvious,","worse,","black,","greatest,"
imitation,silly,food,world,named,musicians,,reaction,goes,start,,,"imitation,","silly,","food,","world,","named,","musicians,"
bleak,heroes,taking,cinema,anything,cold,,generate,t,cylinders,,,"bleak,","heroes,","taking,","cinema,","anything,","cold,"
convincing,oblivious,some,alternative,storm,intelligence,,first,for,weaving,,,"convincing,","oblivious,","some,","alternative,","storm,","intelligence,"
affection,existence,tables,viewing,dick,his,,so,they,funny,,,"affection,","existence,","tables,","viewing,","dick,","his,"
kills,sharply,initial,plot,dirty,usual,,robert,who,storyline,,,"kills,","sharply,","initial,","plot,","dirty,","usual,"
courage,point,miss,cylinders,camps,redundant,,intensity,like,crude,,,"courage,","point,","miss,","cylinders,","camps,","redundant,"
meditation,nowhere,hit,poorly,karen,actress,,flair,do,silly,,,"meditation,","nowhere,","hit,","poorly,","karen,","actress,"
universal,recycled,seems,find,conspiracy,succeeds,,animated,used,adults,,,"universal,","recycled,","seems,","find,","conspiracy,","succeeds,"
awkwardly,already,quality,year,smile,whose,,creation,make,real,,,"awkwardly,","already,","quality,","year,","smile,","whose,"
detached,been,n,sit,comes,above,,parody,those,marriage,,,"detached,","been,","n,","sit,","comes,","above,"
clever,fourth,than,weaving,performances,face,,intriguing,anymore,between,,,"clever,","fourth,","than,","weaving,","performances,","face,"
faithful,swords,when,funny,brave,young,,moments,movies,heroes,,,"faithful,","swords,","when,","funny,","brave,","young,"
exaggerated,proves,(,theme,cast,is,,standard,where,nowhere,,,"exaggerated,","proves,","(,","theme,","cast,","is,"
capable,off,something,another,mixed,by,,follow,part,recycled,,,"capable,","off,","something,","another,","mixed,","by,"
daring,has,stores,clone,spirits,original,,become,happening,been,,,"daring,","has,","stores,","clone,","spirits,","original,"
emerge,horrors,car,storyline,half,even,,wisdom,was,care,,,"emerge,","horrors,","car,","storyline,","half,","even,"
deadly,vivid,much,crude,worse,ways,,tear,this,come,,,"deadly,","vivid,","much,","crude,","worse,","ways,"
striking,splashed,kind,real,world,conspiracy,,images,how,feature,,,"striking,","splashed,","kind,","real,","world,","conspiracy,"
dramatically,any,clothes,issues,cinema,feminist,,eyes,saw,territory,,,"dramatically,","any,","clothes,","issues,","cinema,","feminist,"
longest,pointless,trip,heroes,good,theorist,,cinematic,bad,game,,,"longest,","pointless,","trip,","heroes,","good,","theorist,"
skill,beautifully,find,existence,alternative,named,,sporting,movie,proves,,,"skill,","beautifully,","find,","existence,","alternative,","named,"
fierce,situations,still,sharply,nothing,black,,going,some,off,,,"fierce,","situations,","still,","sharply,","nothing,","black,"
fallen,room,piano,nowhere,start,anything,,go,story,performance,,,"fallen,","room,","piano,","nowhere,","start,","anything,"
drain,touching,picture,point,finish,dirty,,direction,greatest,superb,,,"drain,","touching,","picture,","point,","finish,","dirty,"
remarkably,legend,looking,course,plot,your,,step,musicians,has,,,"remarkably,","legend,","looking,","course,","plot,","your,"
nausea,less,crowd,entire,action,smile,,storytelling,cold,horrors,,,"nausea,","less,","crowd,","entire,","action,","smile,"
brightly,veins,take,dog,little,comes,,landscape,his,vivid,,,"brightly,","veins,","take,","dog,","little,","comes,"
playful,rich,from,recycled,often,brave,,uses,intelligence,ever,,,"playful,","rich,","from,","recycled,","often,","brave,"
tremendous,apparent,while,count,find,enriched,,pleasures,usual,beauty,,,"tremendous,","apparent,","while,","count,","find,","enriched,"
acute,joy,hear,been,interest,spirits,,provide,concept,bloody,,,"acute,","joy,","hear,","been,","interest,","spirits,"
absorbing,ugly,your,care,acted,cast,,masterpiece,is,any,,,"absorbing,","ugly,","your,","care,","acted,","cast,"
qualities,video,musical,feature,poorly,mixed,,slight,it,us,,,"qualities,","video,","musical,","feature,","poorly,","mixed,"
gripping,emptiness,found,fourth,year,which,,called,by,pointless,,,"gripping,","emptiness,","found,","fourth,","year,","which,"
startling,relentless,bite,covers,sit,worse,,hopeless,all,beautifully,,,"startling,","relentless,","bite,","covers,","sit,","worse,"
fatal,exploration,more,territory,another,half,,clumsy,face,situations,,,"fatal,","exploration,","more,","territory,","another,","half,"
glossy,sour,mixed,version,best,or,,dialogue,young,touching,,,"glossy,","sour,","mixed,","version,","best,","or,"
rises,our,grab,million,theme,cinema,,bring,above,subtle,,,"rises,","our,","grab,","million,","theme,","cinema,"
achievement,pretty,eat,gorgeous,funny,world,,conviction,whose,less,,,"achievement,","pretty,","eat,","gorgeous,","funny,","world,"
graceful,these,spears,swords,think,alternative,,bourne,actress,sophisticated,,,"graceful,","these,","spears,","swords,","think,","alternative,"
frantic,mergers,play,performance,real,good,,charm,projects,rich,,,"frantic,","mergers,","play,","performance,","real,","good,"
amusing,woven,listen,proves,issues,viewing,,impressions,swimming,joy,,,"amusing,","woven,","listen,","proves,","issues,","viewing,"
stirring,aerial,?,touch,marriage,start,,effort,even,apparent,,,"stirring,","aerial,","?,","touch,","marriage,","start,"
builds,storylines,our,superb,liked,but,,taking,original,ugly,,,"builds,","storylines,","our,","superb,","liked,","but,"
flourish,experience,hour,horrors,adults,finish,,examination,ways,video,,,"flourish,","experience,","hour,","horrors,","adults,","finish,"
touched,cruel,maximum,vivid,tucked,plot,,engaging,if,digital,,,"touched,","cruel,","maximum,","vivid,","tucked,","plot,"
problematic,women,at,beauty,storyline,cylinders,,lively,see,emptiness,,,"problematic,","women,","at,","beauty,","storyline,","cylinders,"
drains,deception,populated,any,silly,little,,effective,black,exploration,,,"drains,","deception,","populated,","any,","silly,","little,"
magnetic,eastwood,note,pointless,heroes,find,,look,named,ending,,,"magnetic,","eastwood,","note,","pointless,","heroes,","find,"
monstrous,earnest,anyone,beautifully,existence,acted,,suspense,anything,thrilling,,,"monstrous,","earnest,","anyone,","beautifully,","existence,","acted,"
breathe,pays,ask,situations,sharply,often,,realistic,storm,pretty,,,"breathe,","pays,","ask,","situations,","sharply,","often,"
asleep,homage,if,room,every,interest,,grab,dick,damned,,,"asleep,","homage,","if,","room,","every,","interest,"
borrowed,laughs,idea,touching,point,will,,stunts,dirty,mergers,,,"borrowed,","laughs,","idea,","touching,","point,","will,"
creates,few,making,subtle,course,year,,reveals,your,recording,,,"creates,","few,","making,","subtle,","course,","year,"
expresses,endure,needed,starts,entire,weaving,,talents,smile,climate,,,"expresses,","endure,","needed,","starts,","entire,","weaving,"
inactive,help,around,less,sense,clone,,filmmaking,comes,magnificent,,,"inactive,","help,","around,","less,","sense,","clone,"
establishes,power,night,sophisticated,dog,best,,easily,performances,cruel,,,"establishes,","power,","night,","sophisticated,","dog,","best,"
feast,generates,busy,veins,classic,funny,,auschwitz,cast,empathy,,,"feast,","generates,","busy,","veins,","classic,","funny,"
lavish,highs,first,rich,nowhere,another,,theatrical,mixed,ideas,,,"lavish,","highs,","first,","rich,","nowhere,","another,"
reduces,without,actually,joy,sometimes,storyline,,faith,:,history,,,"reduces,","without,","actually,","joy,","sometimes,","storyline,"
sympathetic,historically,b,shot,dry,real,,adaptation,which,eastwood,,,"sympathetic,","historically,","b,","shot,","dry,","real,"
clarity,significant,see,ugly,come,between,,noir,or,earnest,,,"clarity,","significant,","see,","ugly,","come,","between,"
chuckle,tribute,wedding,exploration,times,have,,derivative,half,homage,,,"chuckle,","tribute,","wedding,","exploration,","times,","have,"
commanding,actors,side,emptiness,already,silly,,sequel,worse,pays,,,"commanding,","actors,","side,","emptiness,","already,","silly,"
fabricated,generate,only,relentless,care,i,,disney,world,laughs,,,"fabricated,","generate,","only,","relentless,","care,","i,"
uneasy,comedy,fine,core,count,crude,,ambitions,cinema,horror,,,"uneasy,","comedy,","fine,","core,","count,","crude,"
precisely,heat,opened,thrilling,fourth,think,,problem,very,power,,,"precisely,","heat,","opened,","thrilling,","fourth,","think,"
stalls,robert,tickets,hold,feature,heroes,,compelling,good,endure,,,"stalls,","robert,","tickets,","hold,","feature,","heroes,"
jerking,extremes,give,ford,territory,existence,,runs,alternative,generates,,,"jerking,","extremes,","give,","ford,","territory,","existence,"
harmless,continuum,heck,damned,covers,sharply,,genre,but,much,,,"harmless,","continuum,","heck,","damned,","covers,","sharply,"
adequately,manages,down,mergers,suggesting,course,,romance,nothing,fun,,,"adequately,","manages,","down,","mergers,","suggesting,","course,"
eerie,intensity,used,climate,game,classic,,wildly,start,historically,,,"eerie,","intensity,","used,","climate,","game,","classic,"
insulting,family,groups,recording,million,dog,,uneven,finish,significant,,,"insulting,","family,","groups,","recording,","million,","dog,"
racist,flair,cheaper,current,version,point,,want,plot,tribute,,,"racist,","flair,","cheaper,","current,","version,","point,"
confident,keep,3d,storylines,40,entire,,depth,action,actors,,,"confident,","keep,","3d,","storylines,","40,","entire,"
hollow,animated,into,woven,gorgeous,dry,,hit,will,spark,,,"hollow,","animated,","into,","woven,","gorgeous,","dry,"
sensation,alternating,once,experience,cross,times,,narrative,little,enough,,,"sensation,","alternating,","once,","experience,","cross,","times,"
sincerity,parody,since,together,lost,having,,amounts,often,when,,,"sincerity,","parody,","since,","together,","lost,","having,"
sensual,android,decent,empathy,performance,recycled,,spectacle,find,ca,,,"sensual,","android,","decent,","empathy,","performance,","recycled,"
cerebral,intriguing,stock,cruel,touch,count,,fans,interest,robert,,,"cerebral,","intriguing,","stock,","cruel,","touch,","count,"
glued,comic,any,deception,bringing,care,,dramas,acted,intensity,,,"glued,","comic,","any,","deception,","bringing,","care,"
reflective,pulp,noble,sounds,us,territory,,satisfying,year,extremes,,,"reflective,","pulp,","noble,","sounds,","us,","territory,"
snaps,difference,somehow,lack,ever,covers,,translation,sit,manages,,,"snaps,","difference,","somehow,","lack,","ever,","covers,"
viewed,artworks,/,carried,given,game,,considerable,another,flair,,,"viewed,","artworks,","/,","carried,","given,","game,"
credible,does,exact,seem,beauty,version,,largely,best,terrific,,,"credible,","does,","exact,","seem,","beauty,","version,"
combines,commonplace,packed,history,bloody,million,,flat,theme,entertainment,,,"combines,","commonplace,","packed,","history,","bloody,","million,"
corpse,explore,half,eastwood,many,gorgeous,,thing,funny,animated,,,"corpse,","explore,","half,","eastwood,","many,","gorgeous,"
wins,criminal,ve,earnest,situations,swords,,flashes,i,anyone,,,"wins,","criminal,","ve,","earnest,","situations,","swords,"
lifts,directed,peak,homage,poor,them,,script,have,creation,,,"lifts,","directed,","peak,","homage,","poor,","them,"
shorter,washington,south,few,ben,proves,,sensitive,what,parody,,,"shorter,","washington,","south,","few,","ben,","proves,"
refuses,certainly,want,laughs,driving,performance,,potentially,between,intriguing,,,"refuses,","certainly,","want,","laughs,","driving,","performance,"
elaborate,long,inside,power,directions,off,,expect,think,comic,,,"elaborate,","long,","inside,","power,","directions,","off,"
bravery,images,where,endure,room,he,,resume,real,moments,,,"bravery,","images,","where,","endure,","room,","he,"
spontaneous,eyes,popularity,help,touching,lost,,credits,issues,does,,,"spontaneous,","eyes,","popularity,","help,","touching,","lost,"
quietly,tear,chicken,horror,starts,bringing,,pacing,marriage,follow,,,"quietly,","tear,","chicken,","horror,","starts,","bringing,"
portrays,cinematic,river,generates,legend,touch,,yes,liked,wisdom,,,"portrays,","cinematic,","river,","generates,","legend,","touch,"
profound,addition,practice,life,less,once,,affair,adults,clear,,,"profound,","addition,","practice,","life,","less,","once,"
dubious,titles,knew,historically,rich,has,,feels,heroes,washington,,,"dubious,","titles,","knew,","historically,","rich,","has,"
hampered,generally,meal,significant,stuff,again,,things,existence,directed,,,"hampered,","generally,","meal,","significant,","stuff,","again,"
niche,down,bore,TRUE,veins,superb,,before,every,respectable,,,"niche,","down,","bore,","TRUE,","veins,","superb,"
slack,mystery,asian,tribute,joy,horrors,,predictable,point,showcase,,,"slack,","mystery,","asian,","tribute,","joy,","horrors,"
vital,3000,us,first,apparent,vivid,,brilliant,course,long,,,"vital,","3000,","us,","first,","apparent,","vivid,"
sweetly,own,stars,two,video,any,,change,entire,images,,,"sweetly,","own,","stars,","two,","video,","any,"
infectious,em,thought,enough,shot,us,,length,sense,cinematic,,,"infectious,","em,","thought,","enough,","shot,","us,"
conspicuous,other,rice,throw,digital,beauty,,respect,dog,down,,,"conspicuous,","other,","rice,","throw,","digital,","beauty,"
thud,concert,by,spark,ugly,bloody,,emotions,classic,science,,,"thud,","concert,","by,","spark,","ugly,","bloody,"
represents,authority,look,robert,core,many,,title,nowhere,go,,,"represents,","authority,","look,","robert,","core,","many,"
